Länder,Links
Albania,https://en.wikipedia.org/wiki/Albania
Algeria,https://en.wikipedia.org/wiki/Algeria
American_Samoa,https://en.wikipedia.org/wiki/American_Samoa
Angola,https://en.wikipedia.org/wiki/Angola
Antigua_and_Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Argentina,https://en.wikipedia.org/wiki/Argentina
Armenia,https://en.wikipedia.org/wiki/Armenia
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
The_Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Barbados,https://en.wikipedia.org/wiki/Barbados
Belarus,https://en.wikipedia.org/wiki/Belarus
Belgium,https://en.wikipedia.org/wiki/Belgium
Belize,https://en.wikipedia.org/wiki/Belize
Benin,https://en.wikipedia.org/wiki/Benin
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Bosnia_and_Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana,https://en.wikipedia.org/wiki/Botswana
Brazil,https://en.wikipedia.org/wiki/Brazil
Brunei,https://en.wikipedia.org/wiki/Brunei
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Burkina_Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,https://en.wikipedia.org/wiki/Burundi
Cambodia,https://en.wikipedia.org/wiki/Cambodia
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Canada,https://en.wikipedia.org/wiki/Canada
Cape_Verde,https://en.wikipedia.org/wiki/Cape_Verde
Ivory_Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Central_African_Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,https://en.wikipedia.org/wiki/Chad
Chile,https://en.wikipedia.org/wiki/Chile
China,https://en.wikipedia.org/wiki/China
Colombia,https://en.wikipedia.org/wiki/Colombia
Comoros,https://en.wikipedia.org/wiki/Comoros
Republic_of_the_Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Democratic_Republic_of_the_Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Costa_Rica,https://en.wikipedia.org/wiki/Costa_Rica
Croatia,https://en.wikipedia.org/wiki/Croatia
Cuba,https://en.wikipedia.org/wiki/Cuba
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech_Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Dominica,https://en.wikipedia.org/wiki/Dominica
Dominican_Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Egypt,https://en.wikipedia.org/wiki/Egypt
El_Salvador,https://en.wikipedia.org/wiki/El_Salvador
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Estonia,https://en.wikipedia.org/wiki/Estonia
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Fiji,https://en.wikipedia.org/wiki/Fiji
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
French_Guiana,https://en.wikipedia.org/wiki/French_Guiana
French_Polynesia,https://en.wikipedia.org/wiki/French_Polynesia
Gabon,https://en.wikipedia.org/wiki/Gabon
The_Gambia,https://en.wikipedia.org/wiki/The_Gambia
Georgia_(country),https://en.wikipedia.org/wiki/Georgia_(country)
Germany,https://en.wikipedia.org/wiki/Germany
Ghana,https://en.wikipedia.org/wiki/Ghana
Greece,https://en.wikipedia.org/wiki/Greece
Grenada,https://en.wikipedia.org/wiki/Grenada
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Guam,https://en.wikipedia.org/wiki/Guam
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Guyana,https://en.wikipedia.org/wiki/Guyana
Haiti,https://en.wikipedia.org/wiki/Haiti
Honduras,https://en.wikipedia.org/wiki/Honduras
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
Republic_of_Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,https://en.wikipedia.org/wiki/Israel
Italy,https://en.wikipedia.org/wiki/Italy
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Japan,https://en.wikipedia.org/wiki/Japan
Jordan,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kenya,https://en.wikipedia.org/wiki/Kenya
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Laos,https://en.wikipedia.org/wiki/Laos
Latvia,https://en.wikipedia.org/wiki/Latvia
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Lesotho,https://en.wikipedia.org/wiki/Lesotho
Liberia,https://en.wikipedia.org/wiki/Liberia
Libya,https://en.wikipedia.org/wiki/Libya
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
North_Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives
Mali,https://en.wikipedia.org/wiki/Mali
Malta,https://en.wikipedia.org/wiki/Malta
Martinique,https://en.wikipedia.org/wiki/Martinique
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mexico,https://en.wikipedia.org/wiki/Mexico
Moldova,https://en.wikipedia.org/wiki/Moldova
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Morocco,https://en.wikipedia.org/wiki/Morocco
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Namibia,https://en.wikipedia.org/wiki/Namibia
Nepal,https://en.wikipedia.org/wiki/Nepal
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Netherlands_Antilles,https://en.wikipedia.org/wiki/Netherlands_Antilles
New_Caledonia,https://en.wikipedia.org/wiki/New_Caledonia
New_Zealand,https://en.wikipedia.org/wiki/New_Zealand
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Norway,https://en.wikipedia.org/wiki/Norway
North_Korea,https://en.wikipedia.org/wiki/North_Korea
Oman,https://en.wikipedia.org/wiki/Oman
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Panama,https://en.wikipedia.org/wiki/Panama
Papua_New_Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Peru,https://en.wikipedia.org/wiki/Peru
Philippines,https://en.wikipedia.org/wiki/Philippines
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Qatar,https://en.wikipedia.org/wiki/Qatar
R%C3%A9union,https://en.wikipedia.org/wiki/R%C3%A9union
Romania,https://en.wikipedia.org/wiki/Romania
Russia,https://en.wikipedia.org/wiki/Russia
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Saint_Kitts_and_Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint_Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Saint_Vincent_and_the_Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Samoa,https://en.wikipedia.org/wiki/Samoa
S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saudi_Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal,https://en.wikipedia.org/wiki/Senegal
Serbia,https://en.wikipedia.org/wiki/Serbia
Federal_Republic_of_Yugoslavia,https://en.wikipedia.org/wiki/Federal_Republic_of_Yugoslavia
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Sierra_Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Singapore,https://en.wikipedia.org/wiki/Singapore
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Solomon_Islands,https://en.wikipedia.org/wiki/Solomon_Islands
South_Africa,https://en.wikipedia.org/wiki/South_Africa
South_Korea,https://en.wikipedia.org/wiki/South_Korea
Spain,https://en.wikipedia.org/wiki/Spain
Sri_Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Sudan,https://en.wikipedia.org/wiki/Sudan
Suriname,https://en.wikipedia.org/wiki/Suriname
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Syria,https://en.wikipedia.org/wiki/Syria
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Thailand,https://en.wikipedia.org/wiki/Thailand
East_Timor,https://en.wikipedia.org/wiki/East_Timor
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Togo,https://en.wikipedia.org/wiki/Togo
Trinidad_and_Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Turkey,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Uganda,https://en.wikipedia.org/wiki/Uganda
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United_Arab_Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
United_Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United_States,https://en.wikipedia.org/wiki/United_States
United_States_Virgin_Islands,https://en.wikipedia.org/wiki/United_States_Virgin_Islands
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Yemen,https://en.wikipedia.org/wiki/Yemen
Zambia,https://en.wikipedia.org/wiki/Zambia
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
